--------- beginning of /dev/log/system
07-11 13:52:26.719 I/ActivityManager(  374): No longer want com.google.android.apps.maps:FriendService (pid 27635): empty #17
07-11 14:00:28.094 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
07-11 14:00:28.101 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
07-11 14:00:28.101 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
07-11 14:00:28.101 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
07-11 14:00:28.101 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
07-11 14:00:28.101 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
07-11 14:00:28.101 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
07-11 14:00:28.101 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
07-11 14:00:28.101 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
07-11 14:00:28.101 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
07-11 14:00:28.109 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
07-11 14:00:28.109 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
07-11 14:00:28.109 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
07-11 14:00:28.109 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
07-11 14:00:28.344 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
07-11 14:00:28.344 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
07-11 14:00:28.344 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
07-11 14:00:28.344 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
07-11 14:00:28.344 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
07-11 14:00:28.344 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
07-11 14:00:28.344 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
07-11 14:00:28.351 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
07-11 14:00:28.351 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
07-11 14:00:28.351 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
07-11 14:00:28.351 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
07-11 14:00:28.351 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
07-11 14:00:28.351 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
07-11 14:00:28.351 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
07-11 14:01:28.304 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
07-11 14:01:28.304 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
07-11 14:01:28.304 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
07-11 14:01:28.304 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
07-11 14:01:28.304 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
07-11 14:01:28.304 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
07-11 14:01:28.312 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
07-11 14:01:28.312 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
07-11 14:01:28.312 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
07-11 14:01:28.312 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
07-11 14:01:28.312 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
07-11 14:01:28.312 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
07-11 14:01:28.312 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
07-11 14:01:28.312 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
07-11 14:01:28.554 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
07-11 14:01:28.554 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
07-11 14:01:28.554 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
07-11 14:01:28.554 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
07-11 14:01:28.554 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
07-11 14:01:28.554 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
07-11 14:01:28.554 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
07-11 14:01:28.554 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
07-11 14:01:28.554 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
07-11 14:01:28.554 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
07-11 14:01:28.562 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
07-11 14:01:28.562 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
07-11 14:01:28.562 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
07-11 14:01:28.562 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
07-11 14:02:28.437 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
07-11 14:02:28.437 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
07-11 14:02:28.437 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
07-11 14:02:28.437 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
07-11 14:02:28.437 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
07-11 14:02:28.445 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
07-11 14:02:28.445 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
07-11 14:02:28.445 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
07-11 14:02:28.445 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
07-11 14:02:28.445 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
07-11 14:02:28.445 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
07-11 14:02:28.445 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
07-11 14:02:28.453 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
07-11 14:02:28.453 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
07-11 14:02:28.679 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
07-11 14:02:28.679 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
07-11 14:02:28.679 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
07-11 14:02:28.679 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
07-11 14:02:28.687 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
07-11 14:02:28.687 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
07-11 14:02:28.687 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
07-11 14:02:28.687 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
07-11 14:02:28.687 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
07-11 14:02:28.687 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
07-11 14:02:28.687 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
07-11 14:02:28.687 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
07-11 14:02:28.695 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
07-11 14:02:28.695 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
07-11 14:03:28.601 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
07-11 14:03:28.601 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
07-11 14:03:28.601 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
07-11 14:03:28.609 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
07-11 14:03:28.609 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
07-11 14:03:28.609 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
07-11 14:03:28.609 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
07-11 14:03:28.609 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
07-11 14:03:28.617 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
07-11 14:03:28.617 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
07-11 14:03:28.617 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
07-11 14:03:28.617 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
07-11 14:03:28.617 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
07-11 14:03:28.617 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
07-11 14:03:28.859 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
07-11 14:03:28.859 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
07-11 14:03:28.859 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
07-11 14:03:28.859 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
07-11 14:03:28.859 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
07-11 14:03:28.859 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
07-11 14:03:28.859 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
07-11 14:03:28.867 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
07-11 14:03:28.867 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
07-11 14:03:28.867 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
07-11 14:03:28.867 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
07-11 14:03:28.867 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
07-11 14:03:28.867 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
07-11 14:03:28.867 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
07-11 14:04:28.679 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
07-11 14:04:28.687 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
07-11 14:04:28.687 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
07-11 14:04:28.687 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
07-11 14:04:28.687 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
07-11 14:04:28.687 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
07-11 14:04:28.695 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
07-11 14:04:28.695 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
07-11 14:04:28.695 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
07-11 14:04:28.703 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
07-11 14:04:28.703 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
07-11 14:04:28.703 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
07-11 14:04:28.703 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
07-11 14:04:28.703 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
07-11 14:04:29.062 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
07-11 14:04:29.070 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
07-11 14:04:29.070 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
07-11 14:04:29.070 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
07-11 14:04:29.070 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
07-11 14:04:29.070 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
07-11 14:04:29.070 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
07-11 14:04:29.070 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
07-11 14:04:29.078 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
07-11 14:04:29.078 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
07-11 14:04:29.078 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
07-11 14:04:29.078 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
07-11 14:04:29.078 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
07-11 14:04:29.078 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
07-11 14:05:28.867 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
07-11 14:05:28.875 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
07-11 14:05:28.875 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
07-11 14:05:28.875 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
07-11 14:05:28.875 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
07-11 14:05:28.875 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
07-11 14:05:28.875 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
07-11 14:05:28.883 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
07-11 14:05:28.883 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
07-11 14:05:28.883 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
07-11 14:05:28.883 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
07-11 14:05:28.883 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
07-11 14:05:28.883 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
07-11 14:05:28.890 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
07-11 14:05:29.125 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
07-11 14:05:29.125 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
07-11 14:05:29.133 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
07-11 14:05:29.133 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
07-11 14:05:29.133 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
07-11 14:05:29.133 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
07-11 14:05:29.133 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
07-11 14:05:29.133 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
07-11 14:05:29.140 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
07-11 14:05:29.140 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
07-11 14:05:29.148 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
07-11 14:05:29.156 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
07-11 14:05:29.156 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
07-11 14:05:29.156 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
07-11 14:06:29.086 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
07-11 14:06:29.086 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
07-11 14:06:29.086 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
07-11 14:06:29.086 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
07-11 14:06:29.086 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
07-11 14:06:29.086 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
07-11 14:06:29.086 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
07-11 14:06:29.086 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
07-11 14:06:29.094 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
07-11 14:06:29.094 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
07-11 14:06:29.094 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
07-11 14:06:29.094 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
07-11 14:06:29.094 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
07-11 14:06:29.094 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
07-11 14:06:29.344 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
07-11 14:06:29.344 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
